category,model,status,n_candidates,n_tried,elapsed_s,note
armchair,wkmkvd,too_large,0,0,0.0,too_large(max_dim=1.08m)
armchair,xkacfd,too_large,0,0,0.0,too_large(max_dim=0.77m)
armchair,xpcheg,too_large,0,0,0.0,too_large(max_dim=0.83m)
armchair,xqovyv,too_large,0,0,0.0,too_large(max_dim=0.83m)
armchair,ybcnmu,too_large,0,0,0.0,too_large(max_dim=1.04m)
armchair,zoamsi,too_large,0,0,0.0,too_large(max_dim=0.88m)
armchair,zrgdsz,too_large,0,0,0.0,too_large(max_dim=0.85m)
armchair,zxhcxt,too_large,0,0,0.0,too_large(max_dim=0.83m)
artichoke,tfclmg,graspable,416,40,48.2,i=137 z_rise=0.082
arugula,lbkpoh,graspable,272,8,11.9,i=15 z_rise=0.077
ashtray,dhkkfo,graspable,560,2,5.9,i=13 z_rise=0.073
ashtray,nfuxzd,graspable,512,67,79.0,i=284 z_rise=0.041
asparagus,eodozo,no_grasp,464,102,105.0,
asparagus,npggjn,graspable,560,11,13.6,i=38 z_rise=0.090
asparagus,xguktb,graspable,608,31,35.5,i=136 z_rise=0.080
auricularia,coecnm,no_grasp,512,116,136.3,
avocado,arswzs,graspable,832,3,6.1,i=11 z_rise=0.066
axe,plqyos,too_large,0,0,0.0,too_large(max_dim=0.53m)
baby_bottle,mzedhe,graspable,208,2,5.6,i=1 z_rise=0.131
baby_shoe,jzwnri,graspable,400,2,5.1,i=3 z_rise=0.060
baby_shoe,tnbjlw,graspable,432,9,13.5,i=33 z_rise=0.041
background,eydaus,too_large,0,0,0.0,too_large(max_dim=49.68m)
background,gkemae,too_large,0,0,0.0,too_large(max_dim=5.69m)
background,miopfw,too_large,0,0,0.0,too_large(max_dim=100.76m)
background,zqogsh,too_large,0,0,0.0,too_large(max_dim=49.68m)
backpack,gvbiwl,graspable,512,5,10.3,i=17 z_rise=0.286
bacon,eclhdh,no_candidates,0,0,1.6,
bacon,iiatla,no_candidates,0,0,1.6,
bacon,ioogif,no_grasp,32,14,16.7,
bag_of_auricularia,vyxoju,no_grasp,288,15,18.6,
bag_of_breadcrumbs,nvhvxe,graspable,224,3,5.9,i=3 z_rise=0.044
bag_of_brown_rice,tnfazj,no_grasp,80,26,38.7,
bag_of_chips,bryahw,graspable,592,18,21.8,i=97 z_rise=0.043
bag_of_chips,dwkdko,graspable,640,4,8.5,i=16 z_rise=0.045
bag_of_chips,ennnjj,graspable,624,14,21.0,i=122 z_rise=0.045
bag_of_chips,jphwer,graspable,640,14,17.4,i=62 z_rise=0.047
bag_of_chips,qstxpj,graspable,368,2,5.4,i=2 z_rise=0.142
bag_of_chips,uevvib,graspable,576,2,4.8,i=7 z_rise=0.047
bag_of_chips,wnuoym,graspable,224,25,33.0,i=57 z_rise=0.056
bag_of_cookies,bbyvsc,no_grasp,592,28,32.5,
bag_of_cookies,ikivgk,no_grasp,304,29,34.2,
bag_of_cookies,ksjtde,no_grasp,640,0,1.7,
bag_of_cookies,vafomx,graspable,960,2,4.4,i=11 z_rise=0.054
bag_of_cream_cheese,dxrsol,graspable,384,16,19.7,i=114 z_rise=0.045
bag_of_fertilizer,rqpgrk,too_large,0,0,0.0,too_large(max_dim=0.54m)
bag_of_flour,fntqmd,graspable,192,33,44.9,i=72 z_rise=0.059
bag_of_flour,rlejxx,graspable,32,9,14.1,i=19 z_rise=0.047
bag_of_ice_cream,himfgn,graspable,576,22,27.8,i=113 z_rise=0.078
bag_of_ice_cream,jwalbo,graspable,528,2,4.6,i=12 z_rise=0.054
bag_of_jerky,wblype,no_grasp,416,17,19.6,
bag_of_mulch,foxqdk,too_large,0,0,0.0,too_large(max_dim=0.59m)
bag_of_oranges,vohgas,no_grasp,960,130,147.0,
bag_of_popcorn,dmubtt,no_grasp,96,30,33.4,
bag_of_popcorn,ebygfp,no_grasp,272,72,74.4,
bag_of_rice,eddcjz,no_grasp,656,58,78.1,
bag_of_rice,feerye,no_grasp,400,53,57.3,
bag_of_rice,jzjqjb,graspable,720,5,8.5,i=53 z_rise=0.086
bag_of_rice,xcokwx,graspable,784,6,10.3,i=42 z_rise=0.101
bag_of_rubbish,qfkzkd,too_large,0,0,0.0,too_large(max_dim=0.73m)
bag_of_shiitake,jazecy,no_grasp,304,17,20.7,
bag_of_snacks,pkwgid,graspable,736,4,9.2,i=20 z_rise=0.059
bag_of_starch,npegpl,too_large,0,0,0.0,too_large(max_dim=0.53m)
bag_of_tea,jjweyi,graspable,720,1,3.4,i=3 z_rise=0.041
bag_of_yeast,ibvtik,graspable,48,4,8.0,i=6 z_rise=0.051
bagel,zlxkry,graspable,640,1,4.3,i=5 z_rise=0.083
bagel_dough,iuembm,no_grasp,544,69,79.8,
baguette,pjzkeh,graspable,640,24,30.7,i=77 z_rise=0.043
baguette,xhqnuc,graspable,624,3,5.5,i=6 z_rise=0.047
baguette,xydhpd,graspable,512,104,116.5,i=375 z_rise=0.066
baguette,ypbyek,graspable,560,6,8.8,i=36 z_rise=0.067
bait,lghbdw,no_grasp,80,28,33.7,
baking_powder_jar,lgopij,graspable,384,3,10.8,i=3 z_rise=0.074
baking_sheet,yhurut,graspable,304,2,4.7,i=9 z_rise=0.058
balloon,ixhbmk,no_candidates,0,0,1.9,
banana,verqwv,graspable,464,1,3.8,i=0 z_rise=0.058
banana,vvyyyv,graspable,656,15,19.1,i=69 z_rise=0.060
banana,wmglhc,graspable,528,1,4.1,i=5 z_rise=0.047
banana,znakxm,graspable,528,9,12.6,i=35 z_rise=0.059
banana_bread,outrja,no_grasp,96,30,36.5,
bandage,riftxh,no_candidates,0,0,2.7,
bandana,wbhliu,graspable,176,11,16.0,i=34 z_rise=0.080
bap,enbbud,graspable,464,18,23.2,i=117 z_rise=0.047
bap,pabfde,no_grasp,400,32,36.6,
bar,byvbuc,too_large,0,0,0.0,too_large(max_dim=2.15m)
bar,cowjqr,too_large,0,0,0.0,too_large(max_dim=3.80m)
bar,egwapq,too_large,0,0,0.0,too_large(max_dim=2.43m)
bar,hhltqq,too_large,0,0,0.0,too_large(max_dim=9.30m)
bar,joihle,too_large,0,0,0.0,too_large(max_dim=1.03m)
bar,jvkwcc,too_large,0,0,0.0,too_large(max_dim=2.03m)
bar,udatjt,too_large,0,0,0.0,too_large(max_dim=2.99m)
bar,ukorzz,too_large,0,0,0.0,too_large(max_dim=4.40m)
bar,xxftww,too_large,0,0,0.0,too_large(max_dim=5.76m)
bar_soap,feqemg,graspable,432,2,5.2,i=9 z_rise=0.045
bar_soap,lyigsj,graspable,464,58,62.8,i=309 z_rise=0.050
bar_soap,ofargb,graspable,352,3,5.3,i=61 z_rise=0.048
bar_soap,ozifwa,graspable,528,9,11.9,i=44 z_rise=0.060
bar_soap,utgixp,no_grasp,544,83,89.2,
bar_stool,haaiau,too_large,0,0,0.0,too_large(max_dim=0.77m)
barbecue_sauce_bottle,gfxrnj,graspable,288,5,10.7,i=11 z_rise=0.042
baseball,zanmar,graspable,496,3,6.4,i=5 z_rise=0.053
baseball_bat,spcxrt,too_large,0,0,0.0,too_large(max_dim=0.75m)
baseball_bat,yalgei,too_large,0,0,0.0,too_large(max_dim=0.81m)
baseball_cap,ogptul,graspable,144,1,5.8,i=0 z_rise=0.050
baseball_glove,feakpw,graspable,544,1,4.5,i=0 z_rise=0.051
baseboard,djaeet,too_large,0,0,0.0,too_large(max_dim=1.83m)
baseboard,dsajeh,too_large,0,0,0.0,too_large(max_dim=2.48m)
baseboard,gmhhek,too_large,0,0,0.0,too_large(max_dim=1.87m)
baseboard,peorza,too_large,0,0,0.0,too_large(max_dim=3.39m)
basil,bebpnf,graspable,80,10,14.3,i=28 z_rise=0.088
basil,dkuhvb,graspable,80,10,14.2,i=34 z_rise=0.084
basil_jar,swytaw,graspable,400,2,9.6,i=3 z_rise=0.059
bath_towel,thmepr,too_large,0,0,0.0,too_large(max_dim=1.08m)
bathtub,azdgtl,too_large,0,0,0.0,too_large(max_dim=1.55m)
bathtub,enpxbn,too_large,0,0,0.0,too_large(max_dim=1.69m)
bathtub,euxylv,too_large,0,0,0.0,too_large(max_dim=1.84m)
bathtub,fdjykf,too_large,0,0,0.0,too_large(max_dim=1.69m)
bathtub,gulceo,too_large,0,0,0.0,too_large(max_dim=1.55m)
bathtub,jfhrwj,too_large,0,0,0.0,too_large(max_dim=1.60m)
bathtub,oobbwn,too_large,0,0,0.0,too_large(max_dim=1.67m)
bathtub,pdcrfs,too_large,0,0,0.0,too_large(max_dim=1.88m)
bathtub,rufepf,too_large,0,0,0.0,too_large(max_dim=2.19m)
bathtub,uqmgtw,too_large,0,0,0.0,too_large(max_dim=1.75m)
bathtub,wxrafq,too_large,0,0,0.0,too_large(max_dim=1.67m)
battery,dcjyzg,graspable,544,24,26.8,i=61 z_rise=0.067
batting_gloves,uteyjv,graspable,768,3,6.5,i=22 z_rise=0.117
bay_leaf,blazyi,no_candidates,0,0,1.7,
bay_leaf,cdhuzx,no_candidates,0,0,1.7,
bay_leaf,cwnnyb,no_candidates,0,0,1.7,
bay_leaf,dffqtk,no_candidates,0,0,1.7,
bay_leaf,dwqqxh,no_candidates,0,0,1.7,
bay_leaf,ghcnzp,no_candidates,0,0,1.7,
bay_leaf,llmoti,no_candidates,0,0,1.7,
bay_leaf,rqtlsv,no_candidates,0,0,1.7,
bay_leaf,xofecb,no_candidates,0,0,1.7,
beach_toy,kjoafi,no_candidates,0,0,2.1,
beach_toy,wonucj,no_candidates,0,0,2.0,
beach_toy,zsljeg,graspable,192,5,9.2,i=15 z_rise=0.041
beaker,dtjmai,graspable,128,5,10.8,i=22 z_rise=0.049
beaker,effbnc,no_grasp,32,0,1.8,
beaker,exzsal,graspable,704,2,6.3,i=6 z_rise=0.064
beaker,fxrsyi,graspable,48,1,4.0,i=1 z_rise=0.047
beaker,fyrkzs,graspable,384,1,4.5,i=0 z_rise=0.069
beaker,jdijek,graspable,400,1,4.8,i=2 z_rise=0.057
beaker,rhohgs,graspable,416,1,5.0,i=0 z_rise=0.098
beaker,sfvswx,graspable,240,1,4.4,i=2 z_rise=0.041
beaker,sstojv,graspable,336,1,4.6,i=0 z_rise=0.050
beaker,uobdoq,graspable,288,1,4.8,i=8 z_rise=0.072
beaker,uzgibd,graspable,288,1,4.6,i=5 z_rise=0.066
beaker,zycgen,graspable,352,1,4.8,i=4 z_rise=0.079
bean_curd,hekigc,graspable,544,109,119.1,i=324 z_rise=0.082
bed,fnzxxr,too_large,0,0,0.0,too_large(max_dim=2.24m)
bed,gcgodj,too_large,0,0,0.0,too_large(max_dim=2.56m)
bed,guguqb,too_large,0,0,0.0,too_large(max_dim=2.25m)
bed,gxfipj,too_large,0,0,0.0,too_large(max_dim=2.14m)
bed,hojitx,too_large,0,0,0.0,too_large(max_dim=2.03m)
bed,ivdnny,too_large,0,0,0.0,too_large(max_dim=1.66m)
bed,jpuihb,too_large,0,0,0.0,too_large(max_dim=1.98m)
bed,kddswt,too_large,0,0,0.0,too_large(max_dim=2.17m)
bed,klcjcy,too_large,0,0,0.0,too_large(max_dim=2.30m)
bed,lslyyi,too_large,0,0,0.0,too_large(max_dim=2.17m)
bed,mpgavt,too_large,0,0,0.0,too_large(max_dim=1.93m)
bed,mykwrc,too_large,0,0,0.0,too_large(max_dim=3.00m)
bed,nwzbyk,too_large,0,0,0.0,too_large(max_dim=2.03m)
bed,pqptex,too_large,0,0,0.0,too_large(max_dim=2.06m)
bed,rhanfx,too_large,0,0,0.0,too_large(max_dim=2.28m)
bed,rrcvaq,too_large,0,0,0.0,too_large(max_dim=1.99m)
bed,siuxgz,too_large,0,0,0.0,too_large(max_dim=2.39m)
bed,smmmaf,too_large,0,0,0.0,too_large(max_dim=2.18m)
bed,tjfzsb,too_large,0,0,0.0,too_large(max_dim=2.14m)
bed,wbjidf,too_large,0,0,0.0,too_large(max_dim=2.20m)
bed,wfxgbb,too_large,0,0,0.0,too_large(max_dim=3.79m)
bed,wyxtqf,too_large,0,0,0.0,too_large(max_dim=1.95m)
bed,yghbxh,too_large,0,0,0.0,too_large(max_dim=2.15m)
bed,zrumze,too_large,0,0,0.0,too_large(max_dim=2.03m)
bed_screen,klvmfw,too_large,0,0,0.0,too_large(max_dim=2.79m)
bed_screen,ofpyax,too_large,0,0,0.0,too_large(max_dim=2.79m)
bed_sheet,ivmsdt,too_large,0,0,0.0,too_large(max_dim=1.43m)
bed_sheet,jfsovh,too_large,0,0,0.0,too_large(max_dim=1.50m)
bed_sheet,ldpbcu,too_large,0,0,0.0,too_large(max_dim=1.44m)
bed_sheet,omsbux,too_large,0,0,0.0,too_large(max_dim=1.48m)
bed_sheet,padfds,too_large,0,0,0.0,too_large(max_dim=1.57m)
bed_sheet,xeskbh,too_large,0,0,0.0,too_large(max_dim=1.45m)
beef_broth_carton,ecqxgd,graspable,416,3,10.7,i=3 z_rise=0.115
beefsteak_tomato,altlfz,graspable,480,12,15.8,i=35 z_rise=0.086
beefsteak_tomato,eevvzv,graspable,544,3,6.4,i=5 z_rise=0.074
beefsteak_tomato,ogpans,graspable,464,2,4.4,i=10 z_rise=0.058
beefsteak_tomato,pnrdxh,graspable,400,6,8.7,i=28 z_rise=0.055
beer_bottle,nigfha,graspable,544,1,5.4,i=0 z_rise=0.076
beer_glass,lymciz,graspable,592,1,4.8,i=2 z_rise=0.065
beer_glass,mxsliu,graspable,400,3,7.1,i=9 z_rise=0.071
beer_glass,rxscji,graspable,560,2,5.7,i=10 z_rise=0.040
beer_keg,xtqbuf,too_large,0,0,0.0,too_large(max_dim=0.60m)
beer_tap,bebcmz,graspable,864,2,6.6,i=5 z_rise=0.228
beer_tap,vgaluf,too_large,0,0,0.0,too_large(max_dim=0.50m)
beer_tap,zcrgvq,graspable,640,6,10.7,i=20 z_rise=0.168
beeswax_candle,aiuhyv,no_grasp,208,24,28.5,
beeswax_candle,kxange,graspable,592,3,6.2,i=18 z_rise=0.077
beeswax_candle,nhdnje,graspable,688,1,4.5,i=0 z_rise=0.072
beeswax_candle,nxewyk,graspable,816,1,4.4,i=10 z_rise=0.044
beeswax_candle,oimgmh,graspable,928,3,7.1,i=5 z_rise=0.081
beeswax_candle,ouzkdj,graspable,816,4,8.7,i=20 z_rise=0.068
beeswax_candle,pfewit,graspable,880,1,4.4,i=4 z_rise=0.080
beeswax_candle,rptogj,graspable,464,1,3.5,i=7 z_rise=0.051
beet,wantjv,graspable,512,29,38.5,i=70 z_rise=0.054
bell,oshurh,no_grasp,32,6,8.5,
bell_pepper,ggurxn,graspable,480,3,5.9,i=8 z_rise=0.070
bell_pepper,ihctxa,graspable,592,13,17.9,i=38 z_rise=0.088
bell_pepper,ukkycp,graspable,480,1,3.6,i=1 z_rise=0.083
bell_pepper,uqcenz,graspable,720,3,6.4,i=22 z_rise=0.050
bell_pepper,wszvwc,graspable,464,1,3.9,i=1 z_rise=0.055
belt,gqwddb,too_large,0,0,0.0,too_large(max_dim=0.69m)
bench,esagiq,too_large,0,0,0.0,too_large(max_dim=1.23m)
bench,fdxevw,too_large,0,0,0.0,too_large(max_dim=2.38m)
bench,ftvzzg,too_large,0,0,0.0,too_large(max_dim=2.20m)
bench,hezgut,too_large,0,0,0.0,too_large(max_dim=1.62m)
bench,jaklov,too_large,0,0,0.0,too_large(max_dim=1.93m)
bench,jhfkdc,too_large,0,0,0.0,too_large(max_dim=1.38m)
bench,jvygiq,too_large,0,0,0.0,too_large(max_dim=1.69m)
bench,kpeeai,too_large,0,0,0.0,too_large(max_dim=5.83m)
bench,nnzwxs,too_large,0,0,0.0,too_large(max_dim=1.67m)
bench,nokayw,too_large,0,0,0.0,too_large(max_dim=1.43m)
bench,nzsfrw,too_large,0,0,0.0,too_large(max_dim=1.84m)
bench,pcymmc,too_large,0,0,0.0,too_large(max_dim=1.88m)
bench,pfjnnj,too_large,0,0,0.0,too_large(max_dim=1.17m)
bench,qhuvow,too_large,0,0,0.0,too_large(max_dim=4.05m)
bench,sfglvm,too_large,0,0,0.0,too_large(max_dim=4.29m)
bench,sihckt,too_large,0,0,0.0,too_large(max_dim=6.07m)
bench,sntjne,too_large,0,0,0.0,too_large(max_dim=1.83m)
bench,svnyht,too_large,0,0,0.0,too_large(max_dim=1.65m)
bench,uuhugq,too_large,0,0,0.0,too_large(max_dim=2.38m)
bench,wtkahs,too_large,0,0,0.0,too_large(max_dim=0.98m)
bench,wvtbnn,too_large,0,0,0.0,too_large(max_dim=2.23m)
bench,xwphjd,too_large,0,0,0.0,too_large(max_dim=1.24m)
bench,ybkjzd,too_large,0,0,0.0,too_large(max_dim=9.15m)
bench,yldwmi,too_large,0,0,0.0,too_large(max_dim=2.21m)
bench,zfpjkj,too_large,0,0,0.0,too_large(max_dim=1.37m)
bench_press_machine,pxlgue,too_large,0,0,0.0,too_large(max_dim=1.33m)
bench_press_machine,qjakhy,too_large,0,0,0.0,too_large(max_dim=1.02m)
bench_press_machine,zfhbwy,too_large,0,0,0.0,too_large(max_dim=1.73m)
bicycle,fjvlyf,too_large,0,0,0.0,too_large(max_dim=1.73m)
bicycle,xjumcf,too_large,0,0,0.0,too_large(max_dim=1.73m)
bicycle_chain,czrssf,no_grasp,48,12,14.9,
bicycle_rack,mltrbs,too_large,0,0,0.0,too_large(max_dim=1.57m)
bikini,ttgike,no_candidates,0,0,1.8,
bird_feed_bag,dpxnlc,graspable,288,7,17.4,i=18 z_rise=0.051
bird_feeder,hvlkjx,graspable,448,2,5.0,i=1 z_rise=0.043
birdcage,ogkdoh,too_large,0,0,0.0,too_large(max_dim=0.50m)
biscuit,ukcwqw,no_grasp,544,82,89.4,
biscuit_dough,vbhtbo,no_grasp,400,67,78.2,
blackberry,tvpfvb,no_grasp,176,58,66.2,
blackboard,dgcavd,too_large,0,0,0.0,too_large(max_dim=1.93m)
blackboard,pktarr,too_large,0,0,0.0,too_large(max_dim=3.19m)
blackboard_eraser,oynrtw,graspable,592,78,81.0,i=340 z_rise=0.076
blanket,corgks,no_grasp,384,20,25.4,
blanket,uksirc,too_large,0,0,0.0,too_large(max_dim=1.72m)
blanket,uwbyty,too_large,0,0,0.0,too_large(max_dim=1.55m)
blanket,vwzlnn,too_large,0,0,0.0,too_large(max_dim=1.90m)
blanket,yscwot,too_large,0,0,0.0,too_large(max_dim=1.50m)
bleaching_agent_atomizer,arxjfa,graspable,496,6,11.0,i=23 z_rise=0.069
blender,cwkvib,graspable,416,67,110.3,i=200 z_rise=0.041
blender,dhfqid,graspable,432,25,49.9,i=77 z_rise=0.044
blender,eyedvd,graspable,448,7,18.8,i=53 z_rise=0.069
bleu,wxahdr,graspable,448,2,4.7,i=2 z_rise=0.068
blouse,htcikj,too_large,0,0,0.0,too_large(max_dim=0.87m)
board,fxugbm,too_large,0,0,0.0,too_large(max_dim=1.12m)
board_game,eoywpy,no_grasp,544,5,6.9,
board_game,frgdqh,no_grasp,368,6,8.0,
board_game,fzyuip,no_grasp,432,11,14.8,
board_game,gcfkqa,no_grasp,688,10,11.9,
board_game,gumkqh,no_grasp,464,0,1.6,
board_game,ibzhzu,no_grasp,352,5,7.3,
board_game,iqfvfl,no_grasp,32,7,9.4,
board_game,lzslbu,no_grasp,272,0,1.6,
board_game,nfewft,no_grasp,400,19,23.2,
board_game,ovttum,no_grasp,416,11,13.4,
board_game,phwwnx,graspable,832,28,31.0,i=170 z_rise=0.058
board_game,qdkyzl,graspable,352,14,18.0,i=206 z_rise=0.078
board_game,qgvsnb,no_grasp,560,5,7.1,
board_game,rgvkmy,no_grasp,288,6,8.7,
board_game,twkglv,no_grasp,288,3,5.0,
board_game,vbamua,no_grasp,736,6,9.0,
bobby_pin,zphpcz,no_candidates,0,0,7.3,
bok_choy,bbvcji,graspable,448,1,38.6,i=0 z_rise=0.060
bok_choy,jpkewd,timeout,384,3,238.5,close 3
bookcase,bsvnni,too_large,0,0,0.0,too_large(max_dim=0.79m)
bookcase,ckjxoo,too_large,0,0,0.0,too_large(max_dim=1.95m)
bookcase,cqcoox,too_large,0,0,0.0,too_large(max_dim=0.65m)
bookcase,eckdny,too_large,0,0,0.0,too_large(max_dim=1.63m)
bookcase,eeamky,too_large,0,0,0.0,too_large(max_dim=2.18m)
bookcase,eniafz,too_large,0,0,0.0,too_large(max_dim=1.01m)
bookcase,eyidvz,too_large,0,0,0.0,too_large(max_dim=0.92m)
bookcase,ftzmow,too_large,0,0,0.0,too_large(max_dim=1.06m)
bookcase,gsksby,too_large,0,0,0.0,too_large(max_dim=1.01m)
bookcase,iwziew,too_large,0,0,0.0,too_large(max_dim=0.80m)
bookcase,jaysra,too_large,0,0,0.0,too_large(max_dim=1.76m)
bookcase,jpdtvg,too_large,0,0,0.0,too_large(max_dim=1.43m)
bookcase,kdnyfh,too_large,0,0,0.0,too_large(max_dim=1.59m)
bookcase,kmuacd,too_large,0,0,0.0,too_large(max_dim=1.22m)
bookcase,kvlewx,too_large,0,0,0.0,too_large(max_dim=5.56m)
bookcase,lbbims,too_large,0,0,0.0,too_large(max_dim=2.01m)
bookcase,mfyvai,too_large,0,0,0.0,too_large(max_dim=1.01m)
bookcase,njwsoa,too_large,0,0,0.0,too_large(max_dim=2.00m)
bookcase,opryhp,too_large,0,0,0.0,too_large(max_dim=0.77m)
bookcase,otwukr,too_large,0,0,0.0,too_large(max_dim=1.05m)
bookcase,owvfik,too_large,0,0,0.0,too_large(max_dim=0.75m)
bookcase,pkgbcp,too_large,0,0,0.0,too_large(max_dim=1.08m)
bookcase,ptxdid,too_large,0,0,0.0,too_large(max_dim=4.59m)
bookcase,qpylqf,too_large,0,0,0.0,too_large(max_dim=1.47m)
bookcase,svhjxd,too_large,0,0,0.0,too_large(max_dim=2.12m)
bookcase,sylmbu,too_large,0,0,0.0,too_large(max_dim=2.18m)
bookcase,tahafx,too_large,0,0,0.0,too_large(max_dim=2.08m)
bookcase,uriudf,too_large,0,0,0.0,too_large(max_dim=2.02m)
bookcase,vehhll,too_large,0,0,0.0,too_large(max_dim=2.41m)
bookcase,vgzdul,too_large,0,0,0.0,too_large(max_dim=1.92m)
bookcase,vndvrn,timeout,0,0,877.1,settle
bookcase,wnvxme,too_large,0,0,0.0,too_large(max_dim=3.09m)
bookcase,xgvyyv,too_large,0,0,0.0,too_large(max_dim=1.96m)
bookcase,xsfeyi,too_large,0,0,0.0,too_large(max_dim=1.54m)
bookcase,xurqal,too_large,0,0,0.0,too_large(max_dim=0.95m)
bookcase,zdsmhe,too_large,0,0,0.0,too_large(max_dim=1.54m)
bookcase,zfpyqe,too_large,0,0,0.0,too_large(max_dim=1.64m)
bookcase_back,gjsnrt,too_large,0,0,0.0,too_large(max_dim=2.02m)
bookcase_baseboard,hlhneo,too_large,0,0,0.0,too_large(max_dim=0.74m)
bookcase_shelf,ymtnqa,too_large,0,0,0.0,too_large(max_dim=0.74m)
bookcase_side,bxfkjj,too_large,0,0,0.0,too_large(max_dim=2.02m)
bookcase_side,yujrmw,too_large,0,0,0.0,too_large(max_dim=2.02m)
bookcase_top,pfiole,too_large,0,0,0.0,too_large(max_dim=0.74m)
